StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q23,Q8,Q4,Q22,Q6,Q8,Q10,Q18,Q20
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your gender？,What is your age range?,What is your highest level of education?,How closely related is your field of study or professional field to Computer Science?,"Have you taken any courses, either online or in person, related to robotics or automation?",I have had experience with robots before,Robots can be trusted:,Have you ever used a robotic arm or similar device in any capacity?,How quickly do you feel you can respond to visual cues when using a device or system?,Estimate how often you have had to perform tasks that require quick reactions in your current or past roles.,How many years have you been playing video games?,How often do you play video games?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID23""}","{""ImportId"":""QID17""}","{""ImportId"":""QID4""}","{""ImportId"":""QID22""}","{""ImportId"":""QID10""}","{""ImportId"":""QID9""}","{""ImportId"":""QID12""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}"
2024-05-03 15:15:50,2024-05-03 15:16:42,0,130.64.22.2,100,51,1,2024-05-03 15:16:42,R_31ZeqgSHPfngfoB,,,,,42.4178,-71.1134,anonymous,EN,1,2,6,1,4,7,2,4,3,3,5,2
2024-05-03 15:16:52,2024-05-03 15:18:29,0,130.64.22.2,100,96,1,2024-05-03 15:18:29,R_6pPlQbHzy1e3VqB,,,,,42.4178,-71.1134,anonymous,EN,1,1,5,1,4,7,1,3,4,4,5,1
2024-05-03 15:34:01,2024-05-03 15:35:04,0,130.64.22.2,100,62,1,2024-05-03 15:35:04,R_1gJKc6kA4kL4Qut,,,,,42.4178,-71.1134,anonymous,EN,1,1,5,3,1,2,3,2,2,3,2,4
2024-05-03 15:36:10,2024-05-03 15:37:07,0,130.64.22.2,100,56,1,2024-05-03 15:37:07,R_2QCAxxDUlIKD0NX,,,,,42.4178,-71.1134,anonymous,EN,1,1,3,1,2,5,3,1,4,3,5,1
2024-05-03 15:43:52,2024-05-03 15:45:08,0,130.64.22.2,100,75,1,2024-05-03 15:45:08,R_2Kvf7uFc03xXYzD,,,,,42.4178,-71.1134,anonymous,EN,1,1,5,4,1,1,3,1,1,1,3,1
2024-05-03 16:01:18,2024-05-03 16:02:12,0,130.64.22.2,100,53,1,2024-05-03 16:02:12,R_7lWerQ303ib1arj,,,,,42.4178,-71.1134,anonymous,EN,1,1,5,2,4,7,3,4,3,2,1,5
2024-05-03 16:18:15,2024-05-03 16:21:14,0,130.64.22.2,100,179,1,2024-05-03 16:21:14,R_5SkRggLV6it2Jqq,,,,,42.4178,-71.1134,anonymous,EN,1,2,5,1,3,7,3,3,4,3,5,4
2024-05-03 16:34:41,2024-05-03 18:27:07,0,130.64.22.2,100,6746,1,2024-05-03 18:27:08,R_2qg9bziaDs0xhZ6,,,,,42.4178,-71.1134,anonymous,EN,1,2,5,1,4,7,1,3,3,4,3,4
2024-05-04 12:32:16,2024-05-04 12:35:01,0,100.0.240.74,100,164,1,2024-05-04 12:35:02,R_3zUIIZj5gMmkuMF,,,,,42.4178,-71.1134,qr,EN,1,1,6,5,1,2,1,1,4,5,4,1
2024-05-04 12:32:00,2024-05-04 12:37:06,0,100.0.240.74,100,305,1,2024-05-04 12:37:06,R_38HfE2p5IGkw8fv,,,,,42.4178,-71.1134,qr,EN,1,1,6,2,3,3,1,2,3,4,3,2
2024-05-04 12:50:43,2024-05-04 12:53:09,0,100.0.240.74,100,146,1,2024-05-04 12:53:10,R_5G72kLXjQNleA6Z,,,,,42.4178,-71.1134,qr,EN,1,2,6,1,2,1,3,2,3,4,5,2
